Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1961,1961,ha,3885,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1961,1961,kg/ha,842,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1962,1962,ha,4000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1962,1962,kg/ha,700,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1963,1963,ha,4000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1963,1963,kg/ha,600,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1964,1964,ha,3500,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1964,1964,kg/ha,571.4,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1965,1965,ha,3000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1965,1965,kg/ha,600,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1966,1966,ha,2500,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1966,1966,kg/ha,640,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1967,1967,ha,2500,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1967,1967,kg/ha,520,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1968,1968,ha,2000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1968,1968,kg/ha,500,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1969,1969,ha,1419,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1969,1969,kg/ha,582.8,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1970,1970,ha,1216,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1970,1970,kg/ha,471.2,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1971,1971,ha,1007,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1971,1971,kg/ha,348.6,A,Official figure,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1972,1972,ha,1000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1972,1972,kg/ha,350,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1973,1973,ha,1000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1973,1973,kg/ha,350,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1974,1974,ha,1000,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5412,Yield,115,Barley,1974,1974,kg/ha,350,E,Estimated value,
QCL,Crops and livestock products,426,Lesotho,5312,Area harvested,115,Barley,1975,1975,ha,1200,E,Estimated value,
