"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,126,"LSO","Lesotho",1,"Berea","District","District",NA,"Teyateyaneng"
2,126,"LSO","Lesotho",2,"Butha-Buthe","District","District",NA,"Butha Buthe"
3,126,"LSO","Lesotho",3,"Leribe","District","District",NA,NA
4,126,"LSO","Lesotho",4,"Mafeteng","District","District",NA,NA
5,126,"LSO","Lesotho",5,"Maseru","District","District",NA,NA
6,126,"LSO","Lesotho",6,"Mohale's Hoek","District","District",NA,"Mohales Hoek"
7,126,"LSO","Lesotho",7,"Mokhotlong","District","District",NA,NA
8,126,"LSO","Lesotho",8,"Qacha's Nek","District","District",NA,"Quacha's Nek|Quachas Nek"
9,126,"LSO","Lesotho",9,"Quthing","District","District",NA,NA
10,126,"LSO","Lesotho",10,"Thaba-Tseka","District","District",NA,"Thaba Tseka"
