Area,Item,Year,Yield_Unit,Yield,Flag,Flag Description
Lesotho,Barley,1961,kg/ha,842.0,A,Official figure
Lesotho,Barley,1962,kg/ha,700.0,E,Estimated value
Lesotho,Barley,1963,kg/ha,600.0,E,Estimated value
Lesotho,Barley,1964,kg/ha,571.4,E,Estimated value
Lesotho,Barley,1965,kg/ha,600.0,E,Estimated value
Lesotho,Barley,1966,kg/ha,640.0,E,Estimated value
Lesotho,Barley,1967,kg/ha,520.0,E,Estimated value
Lesotho,Barley,1968,kg/ha,500.0,E,Estimated value
Lesotho,Barley,1969,kg/ha,582.8,A,Official figure
Lesotho,Barley,1970,kg/ha,471.2,A,Official figure
Lesotho,Barley,1971,kg/ha,348.6,A,Official figure
Lesotho,Barley,1972,kg/ha,350.0,E,Estimated value
Lesotho,Barley,1973,kg/ha,350.0,E,Estimated value
Lesotho,Barley,1974,kg/ha,350.0,E,Estimated value
Lesotho,Barley,1975,kg/ha,291.7,E,Estimated value
Lesotho,Barley,1976,kg/ha,267.8,E,Estimated value
Lesotho,Barley,1977,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1978,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1979,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1980,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1981,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1982,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1983,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1984,kg/ha,307.7,E,Estimated value
Lesotho,Barley,1985,kg/ha,384.6,E,Estimated value
Lesotho,Barley,1986,kg/ha,384.6,E,Estimated value
Lesotho,Barley,1987,kg/ha,384.6,E,Estimated value
Lesotho,Barley,1988,kg/ha,384.6,E,Estimated value
Lesotho,Barley,1989,kg/ha,300.0,E,Estimated value
Lesotho,Barley,1990,kg/ha,384.6,E,Estimated value
Lesotho,Barley,1991,kg/ha,353.9,E,Estimated value
Lesotho,Barley,1992,kg/ha,333.2,E,Estimated value
Lesotho,Barley,1993,kg/ha,325.4,E,Estimated value
Lesotho,Barley,1994,kg/ha,318.3,E,Estimated value
Lesotho,Barley,1995,kg/ha,311.5,E,Estimated value
Lesotho,Barley,1996,kg/ha,305.0,E,Estimated value
Lesotho,Barley,1997,kg/ha,298.3,E,Estimated value
Lesotho,Barley,1998,kg/ha,272.7,E,Estimated value
Lesotho,Barley,1999,kg/ha,260.1,E,Estimated value
Lesotho,Barley,2000,kg/ha,277.3,E,Estimated value
Lesotho,Barley,2001,kg/ha,274.5,E,Estimated value
Lesotho,Barley,2002,kg/ha,272.1,E,Estimated value
Lesotho,Barley,2003,kg/ha,269.8,E,Estimated value
Lesotho,Barley,2004,kg/ha,268.8,E,Estimated value
Lesotho,Barley,2005,kg/ha,267.9,E,Estimated value
Lesotho,Barley,2006,kg/ha,253.8,E,Estimated value
Lesotho,Barley,2007,kg/ha,251.1,E,Estimated value
Lesotho,Barley,2008,kg/ha,250.5,E,Estimated value
Lesotho,Barley,2009,kg/ha,252.9,E,Estimated value
Lesotho,Barley,2010,kg/ha,320.4,A,Official figure
Lesotho,Barley,2011,kg/ha,320.7,E,Estimated value
Lesotho,Barley,2012,kg/ha,332.0,E,Estimated value
Lesotho,Barley,2013,kg/ha,399.4,A,Official figure
Lesotho,Barley,2014,kg/ha,350.1,E,Estimated value
Lesotho,Barley,2015,kg/ha,354.2,E,Estimated value
Lesotho,Barley,2016,kg/ha,354.3,E,Estimated value
Lesotho,Barley,2017,kg/ha,356.7,E,Estimated value
Lesotho,Barley,2018,kg/ha,355.1,E,Estimated value
Lesotho,Barley,2019,kg/ha,354.6,E,Estimated value
Lesotho,Barley,2020,kg/ha,355.5,E,Estimated value
Lesotho,Barley,2021,kg/ha,355.1,E,Estimated value
Lesotho,Barley,2022,kg/ha,355.0,E,Estimated value
Lesotho,Barley,2023,kg/ha,355.2,E,Estimated value
Lesotho,"Beans, dry",1961,kg/ha,280.0,E,Estimated value
Lesotho,"Beans, dry",1962,kg/ha,280.0,E,Estimated value
Lesotho,"Beans, dry",1963,kg/ha,320.0,E,Estimated value
Lesotho,"Beans, dry",1964,kg/ha,200.0,E,Estimated value
Lesotho,"Beans, dry",1965,kg/ha,229.6,A,Official figure
Lesotho,"Beans, dry",1966,kg/ha,333.7,A,Official figure
Lesotho,"Beans, dry",1967,kg/ha,258.2,A,Official figure
Lesotho,"Beans, dry",1968,kg/ha,254.6,A,Official figure
Lesotho,"Beans, dry",1969,kg/ha,257.0,A,Official figure
Lesotho,"Beans, dry",1970,kg/ha,226.1,A,Official figure
Lesotho,"Beans, dry",1971,kg/ha,235.3,A,Official figure
Lesotho,"Beans, dry",1972,kg/ha,200.0,A,Official figure
Lesotho,"Beans, dry",1973,kg/ha,285.7,A,Official figure
Lesotho,"Beans, dry",1974,kg/ha,380.7,A,Official figure
